file,task,condition,trial,completeness,accuracy,depth,overall,summary
t1_call_chain_BASE_t1,t1_call_chain,BASE,1,9,8,9,8.7,"Excellent and thorough analysis that covers all major resolution paths with accurate detail, organized clearly into distinct paths with full call trees; only missing the top-level Resolver#infer guard checks."
t1_call_chain_BASE_t2,t1_call_chain,BASE,2,9,8,9,8.7,"Comprehensive and well-structured analysis that covers all major resolution paths with accurate call chains, minor gaps in entry-point guards and CallNode structure definition, but excellent depth in tracing substitution and fallback mechanisms."
t1_call_chain_BASE_t3,t1_call_chain,BASE,3,9,9,10,9.3,"Exceptionally thorough and well-organized answer that covers all reference elements and adds meaningful depth into registry and type substitution internals, with only minor completeness gaps in the dispatch table enumeration."
t1_call_chain_BASE_t4,t1_call_chain,BASE,4,9,8,9,8.7,"Comprehensive and deeply detailed trace of the CallNode resolution chain that covers nearly all branches and helper methods with accurate logic descriptions, missing only the explicit Resolver#infer guard checks and CallNode IR structure."
t1_call_chain_BASE_t5,t1_call_chain,BASE,5,9,9,10,9.3,"Excellent and thorough analysis that covers nearly all reference elements with high accuracy, going deeper into registry internals and type variable substitution mechanics, only missing the top-level Resolver#infer guard checks and caching layer."
t1_call_chain_LSP_GUIDED_t1,t1_call_chain,LSP_GUIDED,1,9,9,9,9.0,"Comprehensive and accurate trace of the CallNode resolution chain that covers all major branches, helper methods, and type substitution mechanics, with only minor omissions in the entry-point guard enumeration."
t1_call_chain_LSP_GUIDED_t2,t1_call_chain,LSP_GUIDED,2,8,8,9,8.3,"Thorough and well-structured answer that covers the full resolution chain with excellent depth and mostly accurate details, but misses some entry-point guard specifics (INFERRING sentinel, MAX_DEPTH, circular reference) and the CallNode IR structure."
t1_call_chain_LSP_GUIDED_t3,t1_call_chain,LSP_GUIDED,3,9,8,9,8.7,"Comprehensive and deeply detailed analysis that covers nearly all resolution paths with accurate control flow descriptions, only missing minor structural details like the full dispatch table and exact CallNode IR attributes."
t1_call_chain_LSP_GUIDED_t4,t1_call_chain,LSP_GUIDED,4,9,8,9,8.7,Thorough and well-structured analysis that covers nearly all resolution paths with accurate detail; main gaps are the omission of top-level infer() guard logic and minor naming discrepancies in registry methods.
t1_call_chain_LSP_GUIDED_t5,t1_call_chain,LSP_GUIDED,5,9,8,9,8.7,"Comprehensive and well-structured analysis that captures nearly the complete resolution chain with accurate details and excellent depth, with only minor inaccuracies in edge case descriptions and slight gaps in IR node structure coverage."
t1_call_chain_LSP_t1,t1_call_chain,LSP,1,8,7,9,8.0,"Thorough and well-structured analysis that covers the core resolution chain in excellent depth, but misses the Resolver#infer entry point guards (caching, circular reference, depth limit) and some structural details like the CallNode IR attributes and Result class definition."
t1_call_chain_LSP_t2,t1_call_chain,LSP,2,9,9,10,9.3,"Exceptionally thorough and accurate trace of the CallNode resolution chain that matches or exceeds the reference in detail, with only minor omissions of the top-level infer() guard checks."
t1_call_chain_LSP_t3,t1_call_chain,LSP,3,9,8,9,8.7,"Comprehensive and well-structured analysis that captures nearly all resolution paths with accurate detail and clear call-chain notation, with only minor gaps in IR node structure documentation and source symbol enumeration."
t1_call_chain_LSP_t4,t1_call_chain,LSP,4,8,8,9,8.3,"Thorough and accurate analysis of the CallNode resolution chain with excellent depth on substitution mechanics and branch logic, but missing the top-level infer() guard checks, caching/depth machinery, and CallNode IR structure details."
t1_call_chain_LSP_t5,t1_call_chain,LSP,5,9,9,10,9.3,"Comprehensive and accurate trace of the CallNode resolution chain that covers all major branches, helper methods, and type substitution mechanics, with only minor gaps in the explicit enumeration of entry-point guard conditions."
t1_call_chain_TG_GUIDED_t1,t1_call_chain,TG_GUIDED,1,9,9,10,9.3,"Excellent answer that covers all major elements of the CallNode resolution chain with high accuracy, and surpasses the reference in depth by detailing SignatureRegistry internals, overload resolution, and on-demand inference mechanisms."
t1_call_chain_TG_GUIDED_t2,t1_call_chain,TG_GUIDED,2,9,9,10,9.3,"Excellent answer that covers all major resolution paths with high accuracy and exceeds the reference in depth on SignatureRegistry internals and type substitution mechanics, with only minor omissions of the Resolver#infer guard checks and dispatch table."
t1_call_chain_TG_GUIDED_t3,t1_call_chain,TG_GUIDED,3,9,9,10,9.3,"Comprehensive and accurate analysis that covers the full CallNode resolution chain with excellent depth, including registry internals and type variable substitution mechanics not fully detailed in the reference."
t1_call_chain_TG_GUIDED_t4,t1_call_chain,TG_GUIDED,4,9,8,9,8.7,"Comprehensive and well-structured answer that covers nearly all elements from the reference with high accuracy and excellent depth, including additional insights about on-demand inference; minor gaps in IR node structure details and full dispatch table enumeration."
t1_call_chain_TG_GUIDED_t5,t1_call_chain,TG_GUIDED,5,9,9,10,9.3,"Excellent answer that covers all key elements of the CallNode resolution chain with high accuracy, adds valuable details beyond the reference (on-demand inference, GemMethodEntry, overload scoring), and provides outstanding structural organization through branching labels and a summary tree."
t1_call_chain_TG_NATURAL_t1,t1_call_chain,TG_NATURAL,1,9,9,10,9.3,"Comprehensive and accurate trace that covers all reference elements and goes deeper into SignatureRegistry, RBSConverter, and substitution internals with an excellent summary flow diagram."
t1_call_chain_TG_NATURAL_t2,t1_call_chain,TG_NATURAL,2,9,9,10,9.3,"Excellent, thorough answer that covers all key elements of the CallNode resolution chain with high accuracy, and provides deeper exploration of supporting subsystems like SignatureRegistry and type variable substitution than the reference itself."
t1_call_chain_TG_NATURAL_t3,t1_call_chain,TG_NATURAL,3,9,9,10,9.3,"Comprehensive and deeply detailed analysis that covers all major resolution branches with accurate control flow, and extends beyond the reference with valuable SignatureRegistry and type substitution internals."
t1_call_chain_TG_NATURAL_t4,t1_call_chain,TG_NATURAL,4,9,9,9,9.0,"Comprehensive and accurate trace that covers all major branches and helper methods with clear call-chain notation, missing only minor details like explicit guard checks in infer() and CallNode IR structure."
t1_call_chain_TG_NATURAL_t5,t1_call_chain,TG_NATURAL,5,9,9,10,9.3,"Comprehensive and deeply detailed answer that covers all key elements from the reference, adds valuable SignatureRegistry depth, and demonstrates thorough understanding of the entire resolution chain with only trivial omissions."
t2_infer_dispatch_BASE_t1,t2_infer_dispatch,BASE,1,9,8,8,8.3,Comprehensive and largely accurate dispatch table that exceeds the reference in breadth (3 extra helper methods) while having minor gaps in describing the full fallback chains for variable reads and parameter inference.
t2_infer_dispatch_BASE_t2,t2_infer_dispatch,BASE,2,9,8,9,8.7,"Excellent and thorough answer that covers all reference elements with additional depth, including helper methods and nuanced logic descriptions; minor line number discrepancies are the only notable weakness."
t2_infer_dispatch_BASE_t3,t2_infer_dispatch,BASE,3,10,8,9,9.0,Comprehensive and deeply detailed answer that covers all reference elements and goes beyond with helper methods and nuanced logic descriptions; minor line number discrepancies and two omitted duck-typing fallbacks prevent a perfect score.
t2_infer_dispatch_BASE_t4,t2_infer_dispatch,BASE,4,10,8,9,9.0,"Excellent and thorough answer that covers all reference elements with additional depth, including helper methods and detailed logic descriptions; minor line number discrepancies and occasional omission of fallback strategies are the only gaps."
t2_infer_dispatch_BASE_t5,t2_infer_dispatch,BASE,5,10,8,9,9.0,"Comprehensive and deeply detailed answer that covers all reference elements and adds valuable sub-handler analysis, with only minor line number discrepancies and small omissions in fallback descriptions."
t2_infer_dispatch_LSP_GUIDED_t1,t2_infer_dispatch,LSP_GUIDED,1,10,9,10,9.7,"Exceptional answer that covers all reference elements with correct logic descriptions, adds valuable sub-helper documentation, and demonstrates deep understanding of the dispatch architecture and fallback strategies."
t2_infer_dispatch_LSP_GUIDED_t2,t2_infer_dispatch,LSP_GUIDED,2,9,7,9,8.3,"Comprehensive and insightful analysis that exceeds the reference in scope by documenting helper methods and patterns, with minor accuracy gaps in line numbers and some missing fallback strategies (naming conventions, duck typing for ivar/cvar reads)."
t2_infer_dispatch_LSP_GUIDED_t3,t2_infer_dispatch,LSP_GUIDED,3,10,8,9,9.0,Comprehensive and insightful answer that covers all reference elements and goes beyond with helper methods and architectural observations; minor line number discrepancies are the only notable issue.
t2_infer_dispatch_LSP_GUIDED_t4,t2_infer_dispatch,LSP_GUIDED,4,10,7,9,8.7,"Comprehensive and insightful answer that covers all reference elements and adds valuable extras (helper methods, nil-return convention), with minor line number discrepancies and slight differences in emphasis on duck typing fallbacks."
t2_infer_dispatch_LSP_GUIDED_t5,t2_infer_dispatch,LSP_GUIDED,5,10,9,10,9.7,"Comprehensive and highly accurate analysis that covers all reference elements and adds meaningful additional detail about helper methods, return conventions, and architectural patterns."
t2_infer_dispatch_LSP_t1,t2_infer_dispatch,LSP,1,10,8,9,9.0,"Comprehensive and well-structured answer that covers all dispatch entries with accurate logic descriptions and insightful structural observations, with only minor line number discrepancies."
t2_infer_dispatch_LSP_t2,t2_infer_dispatch,LSP,2,10,8,9,9.0,"Comprehensive and insightful answer that covers all reference elements and adds valuable extras (helper methods, structural observations), with only minor line number discrepancies and small accuracy gaps in fallback descriptions."
t2_infer_dispatch_LSP_t3,t2_infer_dispatch,LSP,3,9,8,9,8.7,"Comprehensive and insightful answer that covers all reference elements and adds valuable extra detail, with only minor omissions in fallback strategy chains for param and variable read methods."
t2_infer_dispatch_LSP_t4,t2_infer_dispatch,LSP,4,10,8,9,9.0,"The student answer is comprehensive and insightful, covering all reference elements plus additional helper methods with strong explanations of resolution strategies and design patterns, with only minor line-number discrepancies and slight gaps in fallback-path descriptions."
t2_infer_dispatch_LSP_t5,t2_infer_dispatch,LSP,5,10,9,10,9.7,"Exceptional answer that covers all reference elements, adds valuable helper methods and cross-cutting observations, with accurate details and deeper explanations than the reference itself."
t2_infer_dispatch_TG_GUIDED_t1,t2_infer_dispatch,TG_GUIDED,1,9,7,9,8.3,"Comprehensive and insightful answer that exceeds reference scope with helper method coverage, but has minor accuracy gaps in duck typing fallback descriptions and line number alignment."
t2_infer_dispatch_TG_GUIDED_t2,t2_infer_dispatch,TG_GUIDED,2,10,8,9,9.0,"Comprehensive and insightful answer that covers all reference elements and adds valuable extras like helper methods and architectural observations, with only minor line-number discrepancies."
t2_infer_dispatch_TG_GUIDED_t3,t2_infer_dispatch,TG_GUIDED,3,9,7,9,8.3,"Comprehensive and well-structured answer that covers all dispatch entries and adds valuable helper method documentation, with good depth of explanation, but has minor line number discrepancies and omits a few fallback strategies (duck typing for ivar/cvar reads, naming conventions for params)."
t2_infer_dispatch_TG_GUIDED_t4,t2_infer_dispatch,TG_GUIDED,4,10,8,9,9.0,Comprehensive and deeply detailed answer that covers all reference elements and goes beyond with helper methods; minor line number discrepancies and one omitted fallback strategy (naming conventions in infer_param) are the only gaps.
t2_infer_dispatch_TG_GUIDED_t5,t2_infer_dispatch,TG_GUIDED,5,9,7,9,8.3,"Comprehensive and well-structured answer that covers all required methods plus helpful extras, with good depth of explanation, though line numbers are somewhat shifted and duck typing fallbacks for variable reads are understated."
t2_infer_dispatch_TG_NATURAL_t1,t2_infer_dispatch,TG_NATURAL,1,10,8,9,9.0,"Comprehensive and well-structured answer that covers all reference elements and adds valuable detail about helper methods and edge cases, with only minor line number discrepancies and slight underemphasis on some fallback strategies."
t2_infer_dispatch_TG_NATURAL_t2,t2_infer_dispatch,TG_NATURAL,2,9,7,8,8.0,"Comprehensive and well-structured answer that covers all required dispatch methods with good depth, but has systematic line number inaccuracies and a few minor logic description discrepancies."
t2_infer_dispatch_TG_NATURAL_t3,t2_infer_dispatch,TG_NATURAL,3,9,7,9,8.3,"Comprehensive and well-structured answer that covers all reference elements and adds valuable extras (helper methods, dispatcher), with minor accuracy gaps in line numbers and some missed fallback strategies."
t2_infer_dispatch_TG_NATURAL_t4,t2_infer_dispatch,TG_NATURAL,4,10,8,9,9.0,"Comprehensive and insightful answer that covers all reference elements and goes beyond with helper methods and detailed type-specific logic, with only minor line number discrepancies."
t2_infer_dispatch_TG_NATURAL_t5,t2_infer_dispatch,TG_NATURAL,5,9,7,9,8.3,"Comprehensive and detailed answer that covers all reference elements and adds valuable extras, with minor gaps in ParamNode fallback strategies and some line number discrepancies."
t3_ir_nodes_BASE_t1,t3_ir_nodes,BASE,1,10,9,10,9.7,Exceptionally thorough and accurate catalog that covers every element from the reference while adding valuable architectural context and a well-structured summary table.
t3_ir_nodes_BASE_t2,t3_ir_nodes,BASE,2,10,9,10,9.7,"Exceptional answer that covers all reference elements with full accuracy and adds meaningful depth through deferred resolution explanations, shared state descriptions, and a clear dependency graph summary."
t3_ir_nodes_BASE_t3,t3_ir_nodes,BASE,3,9,9,10,9.3,"Exceptionally thorough catalog that covers all 18 nodes plus CalledMethod with accurate details and deeper explanatory context than the reference, demonstrating strong understanding of the IR architecture and its role in type inference."
t3_ir_nodes_BASE_t4,t3_ir_nodes,BASE,4,10,10,10,10.0,"Exceptional answer that covers every element from the reference with perfect accuracy while adding substantial architectural depth through pipeline purpose explanations, a dependency graph visualization, and cross-cutting design pattern analysis."
t3_ir_nodes_BASE_t5,t3_ir_nodes,BASE,5,10,10,10,10.0,"The student answer is comprehensive, accurate, and provides deeper explanations than the reference for every node, with additional structural analysis via the summary table."
t3_ir_nodes_LSP_GUIDED_t1,t3_ir_nodes,LSP_GUIDED,1,10,10,10,10.0,"The student answer is a superset of the reference — it covers every element with perfect accuracy and adds meaningful architectural context, per-node inference rationale, and a well-structured summary table."
t3_ir_nodes_LSP_GUIDED_t2,t3_ir_nodes,LSP_GUIDED,2,10,9,10,9.7,"Comprehensive and deeply explanatory catalog that covers all 18 nodes with accurate details and insightful design pattern analysis, with only a trivial numbering inconsistency in the introduction."
t3_ir_nodes_LSP_GUIDED_t3,t3_ir_nodes,LSP_GUIDED,3,10,9,10,9.7,"Exceptional answer that covers all 18 IR nodes with perfect completeness, high accuracy, and substantially deeper explanatory context than the reference — including architectural reasoning, data-flow semantics, and a well-organized dependency pattern taxonomy."
t3_ir_nodes_LSP_GUIDED_t4,t3_ir_nodes,LSP_GUIDED,4,10,9,10,9.7,"Exceptionally thorough and accurate catalog that covers all 18 nodes with correct attributes, dependencies, and purposes, while adding valuable explanatory depth beyond the reference."
t3_ir_nodes_LSP_GUIDED_t5,t3_ir_nodes,LSP_GUIDED,5,9,8,10,9.0,"Comprehensive and deeply insightful catalog that covers all 18 nodes with superior explanatory depth, marred only by a minor BlockParamSlot sharing inaccuracy and missing support type/common patterns sections."
t3_ir_nodes_LSP_t1,t3_ir_nodes,LSP,1,10,9,10,9.7,Exceptionally thorough and accurate catalog that covers every element from the reference while adding substantial architectural insight and explanatory depth beyond what was required.
t3_ir_nodes_LSP_t2,t3_ir_nodes,LSP,2,10,10,10,10.0,"The student answer is a comprehensive, accurate, and deeply educational catalog that covers every element from the reference while adding substantial explanatory value through pipeline role descriptions and concrete examples."
t3_ir_nodes_LSP_t3,t3_ir_nodes,LSP,3,10,9,10,9.7,Exceptionally thorough and accurate catalog that matches all reference elements while adding valuable pipeline-role context and architectural insights beyond what the reference provides.
t3_ir_nodes_LSP_t4,t3_ir_nodes,LSP,4,10,10,10,10.0,Exceptional answer that covers every element from the reference with perfect accuracy and substantially deeper explanations of each node's role in the type inference pipeline.
t3_ir_nodes_LSP_t5,t3_ir_nodes,LSP,5,10,9,10,9.7,Exceptionally thorough and accurate catalog that covers all reference elements while adding meaningful explanatory depth about design rationale and node relationships.
t3_ir_nodes_TG_GUIDED_t1,t3_ir_nodes,TG_GUIDED,1,10,9,10,9.7,Exceptionally thorough and accurate catalog that covers all reference elements and adds valuable architectural context and cross-node relationship explanations.
t3_ir_nodes_TG_GUIDED_t2,t3_ir_nodes,TG_GUIDED,2,10,9,10,9.7,"Exceptionally thorough and accurate catalog that matches or exceeds the reference in every dimension, with richer architectural explanations and a helpful summary table."
t3_ir_nodes_TG_GUIDED_t3,t3_ir_nodes,TG_GUIDED,3,10,10,10,10.0,"The student answer is a superset of the reference — it covers every element with perfect accuracy and adds substantially deeper explanations, per-attribute type tables, and a dependency graph summary."
t3_ir_nodes_TG_GUIDED_t4,t3_ir_nodes,TG_GUIDED,4,10,9,10,9.7,"Exceptionally thorough and accurate catalog that matches or exceeds the reference in every dimension, with richer explanations of each node's role in the type inference pipeline."
t3_ir_nodes_TG_GUIDED_t5,t3_ir_nodes,TG_GUIDED,5,10,9,10,9.7,"Near-perfect catalog that covers all 18 nodes plus CalledMethod with accurate attributes, correct dependency formulas, and insightful explanations of each node's role in the inference graph."
t3_ir_nodes_TG_NATURAL_t1,t3_ir_nodes,TG_NATURAL,1,10,9,10,9.7,Exceptional answer that covers all reference elements with full accuracy and significantly deeper explanations of inference semantics and node relationships.
t3_ir_nodes_TG_NATURAL_t2,t3_ir_nodes,TG_NATURAL,2,10,9,10,9.7,"Exceptional answer that covers every element from the reference with additional educational context, accurate details, and deeper architectural explanations."
t3_ir_nodes_TG_NATURAL_t3,t3_ir_nodes,TG_NATURAL,3,10,9,10,9.7,Exceptionally thorough and accurate catalog that covers all reference elements and adds significant explanatory depth about inference mechanics and design rationale.
t3_ir_nodes_TG_NATURAL_t4,t3_ir_nodes,TG_NATURAL,4,10,9,10,9.7,"Exceptional answer that covers every element from the reference with perfect accuracy and adds meaningful explanatory depth including semantic distinctions, shared-state implications, and a useful summary table."
t3_ir_nodes_TG_NATURAL_t5,t3_ir_nodes,TG_NATURAL,5,10,10,10,10.0,"The student answer is a superset of the reference — every fact is present and correct, with substantially richer explanations of design rationale and inter-node relationships."
t4_registry_arch_BASE_t1,t4_registry_arch,BASE,1,9,9,10,9.3,"Outstanding analysis that exceeds the reference in depth and practical detail for the 4 core registries, with the only gap being omission of LocationIndex and CodeIndexAdapter as separate components."
t4_registry_arch_BASE_t2,t4_registry_arch,BASE,2,9,9,10,9.3,"Excellent answer that covers the four registries in great depth with accurate details, slightly exceeding the reference in some areas (SignatureRegistry internals, Resolver priority ladder), but missing LocationIndex and CodeIndexAdapter as standalone sections."
t4_registry_arch_BASE_t3,t4_registry_arch,BASE,3,8,9,10,9.0,"Exceptionally detailed and accurate analysis of the registry architecture with deeper-than-reference explanations of internal mechanics and resolver interactions, missing only the LocationIndex component."
t4_registry_arch_BASE_t4,t4_registry_arch,BASE,4,8,9,9,8.7,"Thorough and accurate analysis of the 4 core registries with excellent depth on internals and Resolver interaction, but omits LocationIndex and CodeIndexAdapter which the reference considers part of the registry architecture."
t4_registry_arch_BASE_t5,t4_registry_arch,BASE,5,9,10,10,9.7,"Outstanding answer that covers the 4 core registries with greater depth and accuracy than the reference, including internal data structures, code-level usage patterns, and architectural reasoning; only missing LocationIndex and CodeIndexAdapter coverage."
t4_registry_arch_LSP_GUIDED_t1,t4_registry_arch,LSP_GUIDED,1,8,9,9,8.7,"Thorough and accurate analysis of the four core registries with excellent depth on internals and Resolver integration, but omits LocationIndex and CodeIndexAdapter which the reference considers part of the registry architecture."
t4_registry_arch_LSP_GUIDED_t2,t4_registry_arch,LSP_GUIDED,2,9,9,10,9.3,"Excellent analysis that deeply covers all 4 core registries with accurate internals and insightful architectural explanations, but omits LocationIndex and CodeIndexAdapter which the reference treats as part of the registry architecture."
t4_registry_arch_LSP_GUIDED_t3,t4_registry_arch,LSP_GUIDED,3,8,9,10,9.0,"Excellent analysis that covers all 4 registries with greater depth and architectural insight than the reference, though it omits LocationIndex and CodeIndexAdapter (2 of 6 components)."
t4_registry_arch_LSP_GUIDED_t4,t4_registry_arch,LSP_GUIDED,4,8,9,10,9.0,"Excellent, deeply detailed analysis that surpasses the reference in registry internals and Resolver integration, but omits LocationIndex and CodeIndexAdapter entirely — covering 4 of 6 components."
t4_registry_arch_LSP_GUIDED_t5,t4_registry_arch,LSP_GUIDED,5,8,8,9,8.3,"Excellent analysis that covers all four registries with accurate detail and superior depth on resolver integration and design rationale, but omits LocationIndex and CodeIndexAdapter as standalone architectural components."
t4_registry_arch_LSP_t1,t4_registry_arch,LSP,1,6,9,9,8.0,"Excellent depth and accuracy on the 4 core registries with insights beyond the reference, but missing LocationIndex and CodeIndexAdapter leaves a meaningful gap in the complete architectural picture."
t4_registry_arch_LSP_t2,t4_registry_arch,LSP,2,6,9,9,8.0,"Excellent in-depth coverage of the 4 core registries with superior explanatory quality, but missing LocationIndex and CodeIndexAdapter as documented components reduces completeness."
t4_registry_arch_LSP_t3,t4_registry_arch,LSP,3,8,9,9,8.7,"Thorough and accurate analysis of the four core registries with excellent depth on internal mechanics and resolver integration, but omits LocationIndex and CodeIndexAdapter as standalone documented components."
t4_registry_arch_LSP_t4,t4_registry_arch,LSP,4,8,9,9,8.7,"Thorough and accurate coverage of all 4 registries with excellent depth on internals and resolver integration, but missing LocationIndex and CodeIndexAdapter as standalone documented components."
t4_registry_arch_LSP_t5,t4_registry_arch,LSP,5,7,9,9,8.3,"Thorough and deeply insightful analysis of the four registries and their Resolver integration, but notably omits LocationIndex and CodeIndexAdapter — two of the six components in the reference architecture."
