file,task,condition,trial,completeness,accuracy,depth,overall,summary
t4_registry_arch_TG_GUIDED_t1,t4_registry_arch,TG_GUIDED,1,8,9,9,8.7,"Strong, accurate, and deeply explained analysis of the 4 registries and resolver interactions, with the main gap being the omission of LocationIndex and CodeIndexAdapter as separate indexed components."
t4_registry_arch_TG_GUIDED_t2,t4_registry_arch,TG_GUIDED,2,9,9,10,9.3,"Exceptionally thorough analysis that covers all 4 registries with greater depth than the reference, accurately describes internal mechanics and inter-registry relationships, but omits LocationIndex and CodeIndexAdapter as standalone components."
t4_registry_arch_TG_GUIDED_t3,t4_registry_arch,TG_GUIDED,3,8,9,9,8.7,"Thorough and accurate analysis of the four core registries with excellent depth on internals and resolver integration, but omits LocationIndex and CodeIndexAdapter which are part of the complete registry architecture."
t4_registry_arch_TG_GUIDED_t4,t4_registry_arch,TG_GUIDED,4,8,9,9,8.7,"Thorough and accurate analysis of the 4 core registries with excellent depth on internals and resolver integration, but missing LocationIndex and CodeIndexAdapter coverage that the reference includes as part of the full architecture."
t4_registry_arch_TG_GUIDED_t5,t4_registry_arch,TG_GUIDED,5,9,9,10,9.3,"Exceptionally thorough analysis that exceeds the reference in depth on the 4 core registries, with accurate implementation details and clear architectural reasoning, but omits dedicated coverage of LocationIndex and CodeIndexAdapter as separate components."
t4_registry_arch_TG_NATURAL_t1,t4_registry_arch,TG_NATURAL,1,9,9,10,9.3,"Excellent answer that covers all four registries in greater detail than the reference, with accurate internal data structures, resolver usage flows with line references, and deep architectural explanations, though it omits LocationIndex and CodeIndexAdapter which the reference includes as supplementary indexes."
t4_registry_arch_TG_NATURAL_t2,t4_registry_arch,TG_NATURAL,2,7,9,9,8.3,"Excellent in-depth analysis of the four core registries with superior detail on SignatureRegistry internals and resolver dispatch, but notably omits LocationIndex and CodeIndexAdapter which are part of the full registry architecture."
t4_registry_arch_TG_NATURAL_t3,t4_registry_arch,TG_NATURAL,3,9,9,10,9.3,"Exceptional analysis that covers all four core registries with greater depth than the reference, including internal storage structures, nested classes, and incremental update semantics, though it omits LocationIndex and CodeIndexAdapter which the reference includes as supplementary indexes."
t4_registry_arch_TG_NATURAL_t4,t4_registry_arch,TG_NATURAL,4,6,8,9,7.7,"Excellent deep-dive into the four registry classes with accurate internal details and clear system-level reasoning, but the omission of LocationIndex and CodeIndexAdapter (two of six key components) leaves a significant architectural gap."
t4_registry_arch_TG_NATURAL_t5,t4_registry_arch,TG_NATURAL,5,9,9,10,9.3,"Excellent, deeply researched answer that thoroughly covers all four registries with accurate implementation details and insightful architectural analysis, only missing the LocationIndex and CodeIndexAdapter components that the reference includes as supplementary items."
t5_type_system_BASE_t1,t5_type_system,BASE,1,10,8,9,9.0,"Comprehensive and deeply detailed catalog that covers all reference elements with strong accuracy, going beyond the reference in production-context explanations and adding a valuable cross-reference table, with only minor presentation issues."
t5_type_system_BASE_t2,t5_type_system,BASE,2,10,9,10,9.7,"Exceptional answer that covers all reference elements with full accuracy and significantly exceeds the reference in depth, particularly in tracing type production sources and documenting edge case behaviors."
t5_type_system_BASE_t3,t5_type_system,BASE,3,9,9,10,9.3,"Excellent and comprehensive type catalog that matches or exceeds the reference in all dimensions, with thorough production-source tracing and a useful cross-reference table."
t5_type_system_BASE_t4,t5_type_system,BASE,4,10,9,10,9.7,"The student answer is a superset of the reference — it covers all 13 types with full accuracy, adds MethodSignature/ParamSignature detail, provides richer production-context explanations with specific method names, and includes a summary matrix that aids comprehension."
t5_type_system_BASE_t5,t5_type_system,BASE,5,10,9,10,9.7,Exceptionally thorough catalog that covers every type from the reference with correct details and adds substantially deeper production-source analysis and edge-case documentation.
t5_type_system_LSP_GUIDED_t1,t5_type_system,LSP_GUIDED,1,9,9,10,9.3,"Exceptionally thorough and accurate catalog that covers all reference elements and adds valuable depth on production contexts, widening semantics, and substitution behavior, with only trivial formatting differences from the reference structure."
t5_type_system_LSP_GUIDED_t2,t5_type_system,LSP_GUIDED,2,9,9,10,9.3,"Exceptionally thorough and accurate catalog that matches or exceeds the reference in every dimension, with particularly strong coverage of Resolver production contexts and type substitution mechanics."
t5_type_system_LSP_GUIDED_t3,t5_type_system,LSP_GUIDED,3,9,9,10,9.3,Exceptionally thorough and accurate catalog that covers all reference elements and adds valuable depth through resolver-to-type mapping tables and detailed production context for each type class.
t5_type_system_LSP_GUIDED_t4,t5_type_system,LSP_GUIDED,4,10,9,10,9.7,"The student answer is exceptionally thorough and accurate, matching or exceeding the reference in every dimension with detailed Resolver production contexts, correct behavioral descriptions, and insightful architectural explanations."
t5_type_system_LSP_GUIDED_t5,t5_type_system,LSP_GUIDED,5,9,9,10,9.3,Exceptionally thorough answer that covers all reference elements with correct details and adds significant depth through production context analysis and cross-component connections.
t5_type_system_LSP_t1,t5_type_system,LSP,1,10,9,10,9.7,"Exceptional answer that covers all reference elements with high accuracy and exceeds the reference in depth, particularly in Resolver production contexts, special dispatch behavior, and substitution lifecycle details."
t5_type_system_LSP_t2,t5_type_system,LSP,2,10,9,10,9.7,"Exceptional answer that covers every element from the reference with perfect accuracy and significantly greater depth, including detailed resolver production tables and a comprehensive substitution summary."
t5_type_system_LSP_t3,t5_type_system,LSP,3,10,9,10,9.7,"Exceptionally thorough and accurate answer that covers all reference elements and adds substantial depth with resolver production contexts, special handling notes, and a cross-cutting substitution summary."
t5_type_system_LSP_t4,t5_type_system,LSP,4,9,9,9,9.0,"Comprehensive, accurate, and deeply detailed catalog that covers all type classes with correct attributes, behaviors, and production sources, plus adds useful organizational elements like the override summary table."
t5_type_system_LSP_t5,t5_type_system,LSP,5,9,9,9,9.0,"Comprehensive and accurate catalog that matches the reference in coverage and exceeds it in production-source detail and the synthesized quick-reference table, with only minor omissions."
t5_type_system_TG_GUIDED_t1,t5_type_system,TG_GUIDED,1,10,9,10,9.7,"Exceptional answer that matches or exceeds the reference in all dimensions, with particularly strong 'Produced by' traceability and accurate technical detail throughout."
t5_type_system_TG_GUIDED_t2,t5_type_system,TG_GUIDED,2,10,10,10,10.0,Exemplary answer that covers every element from the reference with perfect accuracy and adds significant depth through detailed production-scenario tables and architectural context.
t5_type_system_TG_GUIDED_t3,t5_type_system,TG_GUIDED,3,10,9,10,9.7,"The student answer is a comprehensive and accurate superset of the reference, covering all key elements with additional depth in production sites, degradation rules, and a well-structured summary matrix."
t5_type_system_TG_GUIDED_t4,t5_type_system,TG_GUIDED,4,9,9,9,9.0,"Comprehensive and accurate catalog that covers all type classes with correct details, adds useful organizational structure and a substitution summary table, and demonstrates deep understanding of the type system's production and substitution mechanics."
t5_type_system_TG_GUIDED_t5,t5_type_system,TG_GUIDED,5,10,9,9,9.3,"Comprehensive and accurate catalog that matches or exceeds the reference in all dimensions, with particularly strong 'Produced by' traceability and a clear substitution flow summary."
t5_type_system_TG_NATURAL_t1,t5_type_system,TG_NATURAL,1,10,9,10,9.7,Exceptionally thorough answer that covers all reference elements with high accuracy and significantly exceeds the reference in depth of production-site analysis and cross-cutting behavioral summaries.
t5_type_system_TG_NATURAL_t2,t5_type_system,TG_NATURAL,2,10,10,10,10.0,"Exceptionally thorough answer that covers all reference elements with complete accuracy and provides additional depth in Resolver production paths, factory behaviors, and type lifecycle explanations."
t5_type_system_TG_NATURAL_t3,t5_type_system,TG_NATURAL,3,10,8,10,9.3,"Exceptionally thorough answer that covers all reference elements with high accuracy and significantly deeper production-source analysis, with only minor unverifiable discrepancies in RBS converter details."
t5_type_system_TG_NATURAL_t4,t5_type_system,TG_NATURAL,4,10,9,10,9.7,"Comprehensive and highly accurate catalog that exceeds the reference in production source detail and cross-cutting architectural analysis, with no significant errors identified."
t5_type_system_TG_NATURAL_t5,t5_type_system,TG_NATURAL,5,9,9,10,9.3,"Exceptionally thorough and accurate catalog that covers all reference elements and adds substantial depth in production sources, edge cases, and resolver behavior patterns."
t6_code_index_BASE_t1,t6_code_index,BASE,1,10,9,10,9.7,"Exceptionally thorough answer that fully subsumes the reference, adds significant additional detail (internal data structures, extra call sites, DslTypeRegistrar), and provides deeper architectural insight through its capability taxonomy."
t6_code_index_BASE_t2,t6_code_index,BASE,2,9,9,10,9.3,"The student answer is more comprehensive and detailed than the reference, covering all key elements with additional depth on data structures, parameter types, and usage contexts that the reference omits."
t6_code_index_BASE_t3,t6_code_index,BASE,3,10,9,10,9.7,"Exceptional answer that covers all reference elements, adds significant additional detail about internal data structures and call sites, and demonstrates deep architectural understanding of the code_index usage patterns throughout the codebase."
t6_code_index_BASE_t4,t6_code_index,BASE,4,10,9,10,9.7,"Exceeds the reference answer in both breadth and depth — covers all required elements with accurate details, adds meaningful architectural context (internal data structures, DslTypeRegistrar wiring, MCP server construction), and provides richer explanations of how each code_index method fits into the overall inference pipeline."
t6_code_index_BASE_t5,t6_code_index,BASE,5,10,9,10,9.7,"The student answer is a superset of the reference — it covers every element in the ground truth while adding accurate, deeply contextualized information about internal data structures, dependency wiring, and additional consumer usages that the reference omits."
t6_code_index_LSP_GUIDED_t1,t6_code_index,LSP_GUIDED,1,10,9,10,9.7,"The student answer is a superset of the reference — it covers every element from the ground truth with high accuracy, adds several additional usage sites and architectural insights, and provides deeper explanations of the internal data structures and wiring patterns."
t6_code_index_LSP_GUIDED_t2,t6_code_index,LSP_GUIDED,2,9,9,10,9.3,"Student answer is more comprehensive and deeper than the reference, covering all major consumers with rich contextual explanations and code snippets, only missing StandaloneRuntime and MCP Server as minor consumers."
t6_code_index_LSP_GUIDED_t3,t6_code_index,LSP_GUIDED,3,10,9,10,9.7,"Exceptional answer that surpasses the reference in both coverage and depth, discovering additional legitimate usages (constant_kind, class_method_owner in Resolver; resolve_constant_name, instance_method_owner in RuntimeAdapter; DslTypeRegistrar pass-through) while maintaining high accuracy throughout."
t6_code_index_LSP_GUIDED_t4,t6_code_index,LSP_GUIDED,4,9,9,10,9.3,"The student answer is a comprehensive and accurate superset of the reference, covering all key elements with significantly greater depth in architectural explanation, internal data structures, and cross-layer wiring."
t6_code_index_LSP_GUIDED_t5,t6_code_index,LSP_GUIDED,5,10,9,10,9.7,"The student answer is a superset of the reference — it covers every element from the ground truth while adding accurate detail about internal data structures, wiring patterns, and additional consumers (DslTypeRegistrar, ToolSetup) that the reference omitted."
t6_code_index_LSP_t1,t6_code_index,LSP,1,10,9,10,9.7,"The student answer is a superset of the reference, covering all key elements with greater depth and no significant inaccuracies, only missing explicit line numbers."
t6_code_index_LSP_t2,t6_code_index,LSP,2,9,9,10,9.3,"The student answer is more comprehensive and deeper than the reference, covering additional usage sites (constant_kind, class_method_owner, instance_method_owner, resolve_constant_name, DslTypeRegistrar) with accurate descriptions and excellent architectural context, only lacking exact line numbers."
t6_code_index_LSP_t3,t6_code_index,LSP,3,9,9,10,9.3,"The student answer is more thorough than the reference, covering all key elements with accurate details and significantly deeper explanations of how code_index flows through the system, including internal data structures and intermediary components like DslTypeRegistrar."
t6_code_index_LSP_t4,t6_code_index,LSP,4,10,9,10,9.7,"Exceptionally thorough analysis that covers all reference elements and adds significant depth with internal data structure documentation, lifecycle explanation, and concrete code snippets for every usage site."
t6_code_index_LSP_t5,t6_code_index,LSP,5,9,9,10,9.3,"The student answer is exceptionally thorough, covering all reference elements plus additional usage sites, internal data structures, and architectural context, with only the MCP Server usage as a minor omission."
t6_code_index_TG_GUIDED_t1,t6_code_index,TG_GUIDED,1,9,9,10,9.3,"Exceptionally thorough analysis that covers all reference elements and goes beyond with additional call sites, internal data structures, and code snippets at each usage point, demonstrating deep understanding of the code_index's role in the architecture."
t6_code_index_TG_GUIDED_t2,t6_code_index,TG_GUIDED,2,9,9,10,9.3,"Comprehensive and deeply detailed answer that exceeds the reference in coverage and depth, accurately documenting all code_index usage sites plus additional intermediary layers."
t6_code_index_TG_GUIDED_t3,t6_code_index,TG_GUIDED,3,9,9,10,9.3,"Comprehensive and accurate analysis that exceeds the reference in depth, covering all key usage sites plus additional context about construction, wiring patterns, and internal data structures, with only minor gaps in exact line number citations."
t6_code_index_TG_GUIDED_t4,t6_code_index,TG_GUIDED,4,9,9,10,9.3,"Excellent analysis that covers all reference elements and adds substantial depth through internal data structure documentation, additional call sites (constant_kind, class_method_owner, instance_method_owner, resolve_constant_name), and clear explanations of the architectural role of each usage."
t6_code_index_TG_GUIDED_t5,t6_code_index,TG_GUIDED,5,9,9,10,9.3,"The student answer is a comprehensive, accurate, and deeply insightful analysis that exceeds the reference in depth and coverage, identifying additional call sites and explaining architectural patterns like the temp-registry construction and DSL registration pipeline."
t6_code_index_TG_NATURAL_t1,t6_code_index,TG_NATURAL,1,9,9,10,9.3,"Excellent answer that covers all reference elements with high accuracy and significantly deeper architectural explanation, including internal data structures and additional usage sites beyond the reference."
t6_code_index_TG_NATURAL_t2,t6_code_index,TG_NATURAL,2,10,9,10,9.7,"Comprehensive and accurate analysis that covers everything in the reference answer while adding significant additional detail about internal data structures, intermediary layers, and architectural roles — demonstrating deep understanding of the code_index subsystem."
t6_code_index_TG_NATURAL_t3,t6_code_index,TG_NATURAL,3,10,9,10,9.7,"Exceptionally thorough analysis that exceeds the reference in both breadth (more usage sites documented) and depth (explains architectural context and data flow), with all facts accurate."
t6_code_index_TG_NATURAL_t4,t6_code_index,TG_NATURAL,4,9,9,10,9.3,"Exceptionally thorough answer that exceeds the reference in depth and detail, covering all key usage sites with accurate descriptions and insightful explanations of why each usage matters."
t6_code_index_TG_NATURAL_t5,t6_code_index,TG_NATURAL,5,9,8,10,9.0,"Comprehensive and well-organized answer that covers all reference elements and goes significantly deeper with internal data structures, additional call sites, and a clear architectural summary — minor gaps only in line number specificity and the frequency summary table."
t7_union_method_bug_BASE_t1,t7_union_method_bug,BASE,1,9,9,9,9.0,"Near-comprehensive analysis that accurately traces the bug path, correctly identifies the root cause and fix strategy, with strong depth of understanding including the .class nuance and helper extraction rationale."
t7_union_method_bug_BASE_t2,t7_union_method_bug,BASE,2,9,9,9,9.0,"Comprehensive and accurate diagnosis that matches the reference on all key points, with the bonus of identifying the hover.rb secondary issue and providing clear reasoning about why .class accidentally works while other methods fail."
t7_union_method_bug_BASE_t3,t7_union_method_bug,BASE,3,9,9,9,9.0,"Near-complete and highly accurate analysis that matches the reference answer in all major dimensions, with only trivial omissions in implementation option comparison."
t7_union_method_bug_BASE_t4,t7_union_method_bug,BASE,4,9,9,9,9.0,"Thorough and accurate diagnosis that correctly identifies the missing Types::Union handler in infer_call, traces the full execution path, explains the Object fallback masking behavior, and proposes a well-structured fix plan with appropriate test cases."
t7_union_method_bug_BASE_t5,t7_union_method_bug,BASE,5,9,9,9,9.0,"Near-comprehensive analysis that accurately traces the bug path, correctly identifies the root cause and fix strategy, and demonstrates deep understanding of the resolver's type dispatch architecture with only trivial omissions."
t7_union_method_bug_LSP_GUIDED_t1,t7_union_method_bug,LSP_GUIDED,1,9,9,9,9.0,"Comprehensive and accurate diagnosis that correctly identifies the missing Types::Union handler in infer_call, traces the full code path with precise file/line references, and proposes a well-reasoned fix plan with appropriate TDD methodology."
t7_union_method_bug_LSP_GUIDED_t2,t7_union_method_bug,LSP_GUIDED,2,9,9,9,9.0,"Comprehensive and accurate diagnosis that traces the full bug path, correctly identifies the root cause, and proposes an architecturally sound fix with clear reasoning throughout."
t7_union_method_bug_LSP_GUIDED_t3,t7_union_method_bug,LSP_GUIDED,3,8,7,8,7.7,"Strong diagnosis that correctly identifies the root cause and proposes a sound fix, with good execution tracing but some inaccuracies in fallback path analysis and fewer edge cases than the reference."
t7_union_method_bug_LSP_GUIDED_t4,t7_union_method_bug,LSP_GUIDED,4,9,9,9,9.0,"Comprehensive and accurate analysis that matches the reference answer on all key points, adds valuable secondary findings (block_param_slot bug, Union.normalize interaction), and demonstrates deep understanding of the type inference architecture."
t7_union_method_bug_LSP_GUIDED_t5,t7_union_method_bug,LSP_GUIDED,5,8,9,9,8.7,"Thorough and accurate diagnosis that correctly identifies the root cause, traces the full code path, and proposes a sound fix plan, with only minor gaps in edge case coverage and implementation alternatives compared to the reference."
t7_union_method_bug_LSP_t1,t7_union_method_bug,LSP,1,7,7,6,6.7,"Correctly identifies the primary root cause and proposes a sound fix direction, but lacks precision in the fallback chain tracing, adds a questionable second root cause, and misses implementation details like helper extraction and comprehensive test case planning."
t7_union_method_bug_LSP_t2,t7_union_method_bug,LSP,2,9,8,9,8.7,"Thorough and well-structured diagnosis that correctly identifies the missing Types::Union handler in infer_call, traces the full code path accurately (with one minor inaccuracy about the Object#class fallback), and proposes a sound fix plan with appropriate test coverage."
t7_union_method_bug_LSP_t3,t7_union_method_bug,LSP,3,8,8,7,7.7,"Strong diagnosis that correctly identifies the root cause and proposes a sound fix, with minor inaccuracies in the fallback path tracing and less depth on implementation details like helper extraction and substitution handling."
t7_union_method_bug_LSP_t4,t7_union_method_bug,LSP,4,8,9,7,8.0,"Strong diagnosis that correctly identifies the root cause, traces the code path accurately, and proposes a sound fix, but lacks the reference's depth on implementation strategy details and edge case enumeration."
t7_union_method_bug_LSP_t5,t7_union_method_bug,LSP,5,8,9,7,8.0,"Strong diagnosis that correctly identifies the root cause and proposes a sound fix, but misses some nuanced details about the Object RBS fallback path and several edge cases covered in the reference."
t7_union_method_bug_TG_GUIDED_t1,t7_union_method_bug,TG_GUIDED,1,9,9,9,9.0,"Comprehensive and accurate diagnosis that correctly identifies the root cause, traces the full execution path, explains the masking behavior of the Object fallback, and proposes a well-reasoned fix plan with appropriate test cases."
t7_union_method_bug_TG_GUIDED_t2,t7_union_method_bug,TG_GUIDED,2,9,8,9,8.7,"Thorough and accurate diagnosis that correctly identifies the root cause, traces the full code path, and proposes a sound fix plan, with only minor type nomenclature inaccuracies (ArrayType vs TupleType for literal arrays)."
t7_union_method_bug_TG_GUIDED_t3,t7_union_method_bug,TG_GUIDED,3,9,9,9,9.0,"Thorough and accurate diagnosis that correctly identifies the missing Types::Union handler in infer_call, traces the full code path, and proposes a well-structured fix plan closely matching the reference answer."
t7_union_method_bug_TG_GUIDED_t4,t7_union_method_bug,TG_GUIDED,4,9,9,10,9.3,"The student answer is excellent — it identifies both the primary resolver.rb bug and a secondary hover.rb bug, traces the complete code path with accurate detail, and demonstrates deep understanding of the Union type normalization subtleties that even the reference answer only partially explores."
t7_union_method_bug_TG_GUIDED_t5,t7_union_method_bug,TG_GUIDED,5,9,9,9,9.0,"Thorough and accurate diagnosis that matches the reference answer on all major points, with particularly strong reasoning about the Unknown filtering design decision and concrete examples of expected behavior after the fix."
t7_union_method_bug_TG_NATURAL_t1,t7_union_method_bug,TG_NATURAL,1,9,9,9,9.0,"Exceptionally thorough diagnosis that matches the reference answer in nearly all dimensions, with accurate tracing, correct root cause identification, and a well-reasoned fix plan with comprehensive edge case analysis."
t7_union_method_bug_TG_NATURAL_t2,t7_union_method_bug,TG_NATURAL,2,9,9,10,9.3,"Student answer exceeds the reference in several dimensions — it identifies additional failure points in hover.rb, provides a more thorough end-to-end trace, and correctly explains the accidental .class success, while covering all core elements from the reference with high accuracy."
t7_union_method_bug_TG_NATURAL_t3,t7_union_method_bug,TG_NATURAL,3,10,9,10,9.7,"Near-perfect analysis that matches or exceeds the reference answer in all dimensions, with accurate code tracing, correct self-correction on the .class edge case, and comprehensive fix planning including an additional edge case not in the reference."
t7_union_method_bug_TG_NATURAL_t4,t7_union_method_bug,TG_NATURAL,4,9,9,10,9.3,"Near-complete and highly accurate diagnosis that matches the reference answer on all key points, with additional depth on the Object fallback nuance and a well-structured incremental fix plan."
t7_union_method_bug_TG_NATURAL_t5,t7_union_method_bug,TG_NATURAL,5,9,9,9,9.0,"Comprehensive and accurate diagnosis that matches the reference answer on all major points, with the added value of empirical experiment results confirming the behavior, and only minor gaps in edge case enumeration."
